,115k,130k,132k,125k,140k,135k,105k,110k,152k,145k,150k,407k,495k,457k,492k,462k,500k,405k,485k,490k,387k,505k,480k,417k,442k,397k,365k,487k,402k,362k,422k,380k,382k,400k,510k,467k,515k,520k,147k,477k,482k,375k,390k,282k,370k,277k,357k,525k,272k,395k,280k,270k,392k,372k,255k,262k,245k,265k,257k,247k,252k,267k,232k,235k,242k,240k,250k,AVG
MMLU OFFICIAL,0.25879504344110527,0.26043298675402365,0.26185728528699614,0.26442102264634665,0.2649195271328871,0.26556046147272466,0.26613018088591367,0.26627261073921094,0.2671271898589944,0.2672696197122917,0.2678393391254807,0.26819541375872386,0.26819541375872386,0.26826662868537243,0.26826662868537243,0.26826662868537243,0.26833784361202107,0.26833784361202107,0.26833784361202107,0.2684090585386697,0.26848027346531833,0.26855148839196696,0.26855148839196696,0.26855148839196696,0.2686227033186156,0.2686227033186156,0.2686227033186156,0.26869391824526423,0.26869391824526423,0.2687651331719128,0.2687651331719128,0.2687651331719128,0.2687651331719128,0.2687651331719128,0.2687651331719128,0.2687651331719128,0.2687651331719128,0.26883634809856144,0.26883634809856144,0.26883634809856144,0.2689075630252101,0.2689075630252101,0.2689075630252101,0.2689075630252101,0.2689787779518587,0.2689787779518587,0.2689787779518587,0.26912120780515597,0.26912120780515597,0.2691924227318046,0.2691924227318046,0.26926363765845324,0.26926363765845324,0.26926363765845324,0.26926363765845324,0.26926363765845324,0.26940606751175045,0.26940606751175045,0.26940606751175045,0.2694772824383991,0.26961971229169635,0.26961971229169635,0.2697621421449936,0.2697621421449936,0.2699045719982908,0.26997578692493945,0.2701182167782367,0.2682273010393127
SIMPLE AVERAGE (All Tasks),0.2578419591211619,0.25864270951962715,0.2607164713940206,0.2639544956739282,0.2658334323013071,0.2660453304462557,0.2649589350641736,0.26567062172161626,0.26767746430718764,0.2661169226745162,0.267999976797625,0.2696098898402973,0.26953759895590307,0.269832537549564,0.27019261726895677,0.269385850545382,0.26993761474126193,0.26923189829254845,0.2695166430088526,0.2699731567157679,0.2699910991500277,0.27005055351751345,0.27001061438054147,0.26994344031428313,0.2699363870251277,0.2701081636795002,0.269807820080613,0.2702228701905473,0.26968504779842145,0.27051175308608294,0.27032926795348955,0.27047209134944317,0.27013166824076645,0.27068401430288563,0.27034434289289566,0.2701753218763947,0.27018908501084343,0.27055560256735334,0.267643138602299,0.27016255920122517,0.270312846556351,0.2705035158406196,0.2706685667191198,0.27038310939344606,0.27056864191449964,0.27063161466917457,0.27060237901386835,0.2708332595375195,0.27071192205942346,0.27106893752536854,0.2709235622710637,0.27093423471801553,0.2711950541040322,0.27090272934903137,0.2709409495395272,0.2707519326862459,0.2712369791875339,0.27111992915445854,0.2709046567113974,0.2712633626160251,0.2711920966056605,0.27143820182916,0.2713599660491443,0.2716469826494259,0.2714927046527894,0.2715486954318421,0.2720596538992531,0.2694153351021523
High School Statistics (Avg: 0.468),0.39351851851851855,0.41203703703703703,0.4398148148148148,0.4537037037037037,0.44907407407407407,0.46296296296296297,0.4305555555555556,0.47685185185185186,0.4537037037037037,0.4583333333333333,0.4675925925925926,0.4722222222222222,0.4722222222222222,0.4722222222222222,0.4722222222222222,0.4722222222222222,0.4722222222222222,0.4722222222222222,0.4722222222222222,0.4722222222222222,0.4675925925925926,0.4722222222222222,0.4722222222222222,0.4722222222222222,0.4722222222222222,0.4722222222222222,0.4722222222222222,0.4722222222222222,0.4675925925925926,0.4722222222222222,0.4722222222222222,0.47685185185185186,0.4722222222222222,0.4675925925925926,0.4722222222222222,0.4722222222222222,0.4722222222222222,0.4722222222222222,0.4537037037037037,0.4722222222222222,0.47685185185185186,0.4722222222222222,0.4722222222222222,0.4722222222222222,0.4722222222222222,0.4722222222222222,0.4722222222222222,0.4722222222222222,0.4722222222222222,0.4722222222222222,0.4722222222222222,0.4722222222222222,0.4722222222222222,0.47685185185185186,0.4722222222222222,0.4722222222222222,0.4722222222222222,0.4722222222222222,0.4722222222222222,0.4722222222222222,0.4722222222222222,0.4722222222222222,0.4722222222222222,0.4722222222222222,0.4722222222222222,0.4722222222222222,0.4722222222222222,0.46752349364289664
Professional Medicine (Avg: 0.438),0.3125,0.33088235294117646,0.33088235294117646,0.34558823529411764,0.3786764705882353,0.40441176470588236,0.40808823529411764,0.4264705882352941,0.43014705882352944,0.4375,0.4411764705882353,0.4485294117647059,0.4485294117647059,0.4485294117647059,0.4485294117647059,0.4485294117647059,0.4485294117647059,0.4485294117647059,0.4485294117647059,0.4485294117647059,0.4485294117647059,0.4485294117647059,0.4485294117647059,0.4485294117647059,0.4485294117647059,0.4485294117647059,0.4485294117647059,0.4485294117647059,0.4485294117647059,0.4485294117647059,0.4485294117647059,0.4485294117647059,0.4485294117647059,0.4485294117647059,0.4485294117647059,0.4485294117647059,0.4485294117647059,0.4485294117647059,0.44485294117647056,0.4485294117647059,0.4485294117647059,0.4485294117647059,0.4485294117647059,0.4485294117647059,0.4485294117647059,0.4485294117647059,0.4485294117647059,0.4485294117647059,0.4485294117647059,0.4485294117647059,0.4485294117647059,0.4485294117647059,0.4485294117647059,0.4485294117647059,0.4485294117647059,0.4485294117647059,0.4485294117647059,0.4485294117647059,0.4485294117647059,0.4485294117647059,0.4485294117647059,0.4485294117647059,0.4485294117647059,0.4485294117647059,0.4485294117647059,0.4485294117647059,0.4485294117647059,0.43821334503950843
Security Studies (Avg: 0.398),0.3836734693877551,0.3673469387755102,0.3877551020408163,0.3836734693877551,0.3795918367346939,0.39591836734693875,0.3877551020408163,0.4,0.39591836734693875,0.39591836734693875,0.39183673469387753,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.3877551020408163,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.397867803837953
College Chemistry (Avg: 0.394),0.28,0.27,0.3,0.33,0.35,0.32,0.34,0.36,0.32,0.34,0.33,0.42,0.4,0.41,0.41,0.4,0.41,0.39,0.41,0.42,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.42,0.41,0.41,0.41,0.41,0.42,0.41,0.41,0.41,0.41,0.33,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.42,0.41,0.4,0.41,0.42,0.4,0.41,0.41,0.41,0.41,0.4,0.41,0.41,0.41,0.41,0.39417910447761195
Management (Avg: 0.371),0.3106796116504854,0.32038834951456313,0.32038834951456313,0.33980582524271846,0.3300970873786408,0.3592233009708738,0.36893203883495146,0.33980582524271846,0.3786407766990291,0.3300970873786408,0.33980582524271846,0.3786407766990291,0.3786407766990291,0.3786407766990291,0.3786407766990291,0.3786407766990291,0.3786407766990291,0.3786407766990291,0.3786407766990291,0.3786407766990291,0.3786407766990291,0.3786407766990291,0.3786407766990291,0.3786407766990291,0.3786407766990291,0.3786407766990291,0.3786407766990291,0.3786407766990291,0.3786407766990291,0.3786407766990291,0.3786407766990291,0.3786407766990291,0.3786407766990291,0.3786407766990291,0.3786407766990291,0.3786407766990291,0.3786407766990291,0.3786407766990291,0.32038834951456313,0.3786407766990291,0.3786407766990291,0.3786407766990291,0.3786407766990291,0.3786407766990291,0.3786407766990291,0.3786407766990291,0.3786407766990291,0.3786407766990291,0.3786407766990291,0.3786407766990291,0.3786407766990291,0.3786407766990291,0.3786407766990291,0.3786407766990291,0.3786407766990291,0.3786407766990291,0.3786407766990291,0.3786407766990291,0.3786407766990291,0.3786407766990291,0.3786407766990291,0.3786407766990291,0.3786407766990291,0.36893203883495146,0.3786407766990291,0.3786407766990291,0.3786407766990291,0.37125054339950725
High School Government And Politics (Avg: 0.366),0.35751295336787564,0.37823834196891193,0.35233160621761656,0.3626943005181347,0.34196891191709844,0.35751295336787564,0.36787564766839376,0.3626943005181347,0.36787564766839376,0.37305699481865284,0.36787564766839376,0.36787564766839376,0.36787564766839376,0.35751295336787564,0.36787564766839376,0.36787564766839376,0.36787564766839376,0.36787564766839376,0.3626943005181347,0.36787564766839376,0.3626943005181347,0.36787564766839376,0.37305699481865284,0.36787564766839376,0.3626943005181347,0.36787564766839376,0.36787564766839376,0.3626943005181347,0.3626943005181347,0.3626943005181347,0.3626943005181347,0.3626943005181347,0.3626943005181347,0.3626943005181347,0.36787564766839376,0.36787564766839376,0.36787564766839376,0.36787564766839376,0.37823834196891193,0.36787564766839376,0.36787564766839376,0.36787564766839376,0.36787564766839376,0.36787564766839376,0.36787564766839376,0.36787564766839376,0.36787564766839376,0.36787564766839376,0.36787564766839376,0.36787564766839376,0.36787564766839376,0.36787564766839376,0.36787564766839376,0.36787564766839376,0.36787564766839376,0.36787564766839376,0.36787564766839376,0.36787564766839376,0.36787564766839376,0.36787564766839376,0.36787564766839376,0.36787564766839376,0.36787564766839376,0.36787564766839376,0.36787564766839376,0.36787564766839376,0.36787564766839376,0.36632897687727173
Formal Logic (Avg: 0.362),0.3492063492063492,0.3253968253968254,0.35714285714285715,0.3412698412698413,0.3492063492063492,0.3412698412698413,0.35714285714285715,0.3492063492063492,0.3492063492063492,0.36507936507936506,0.35714285714285715,0.35714285714285715,0.36507936507936506,0.36507936507936506,0.36507936507936506,0.36507936507936506,0.36507936507936506,0.36507936507936506,0.36507936507936506,0.36507936507936506,0.36507936507936506,0.36507936507936506,0.36507936507936506,0.36507936507936506,0.36507936507936506,0.373015873015873,0.35714285714285715,0.36507936507936506,0.36507936507936506,0.36507936507936506,0.36507936507936506,0.36507936507936506,0.36507936507936506,0.36507936507936506,0.36507936507936506,0.36507936507936506,0.36507936507936506,0.36507936507936506,0.35714285714285715,0.36507936507936506,0.36507936507936506,0.36507936507936506,0.35714285714285715,0.36507936507936506,0.36507936507936506,0.36507936507936506,0.36507936507936506,0.36507936507936506,0.373015873015873,0.373015873015873,0.36507936507936506,0.36507936507936506,0.36507936507936506,0.36507936507936506,0.3492063492063492,0.36507936507936506,0.36507936507936506,0.36507936507936506,0.36507936507936506,0.373015873015873,0.36507936507936506,0.36507936507936506,0.373015873015873,0.35714285714285715,0.36507936507936506,0.35714285714285715,0.36507936507936506,0.3621179815209666
High School Macroeconomics (Avg: 0.361),0.3230769230769231,0.3333333333333333,0.33589743589743587,0.3564102564102564,0.32564102564102565,0.34615384615384615,0.34615384615384615,0.36666666666666664,0.36153846153846153,0.36153846153846153,0.35128205128205126,0.358974358974359,0.3641025641025641,0.358974358974359,0.36153846153846153,0.36153846153846153,0.3641025641025641,0.358974358974359,0.3641025641025641,0.3641025641025641,0.36153846153846153,0.3641025641025641,0.3641025641025641,0.36153846153846153,0.36153846153846153,0.36923076923076925,0.36923076923076925,0.3641025641025641,0.36153846153846153,0.36923076923076925,0.3641025641025641,0.36666666666666664,0.36923076923076925,0.358974358974359,0.358974358974359,0.36153846153846153,0.3641025641025641,0.3641025641025641,0.358974358974359,0.36153846153846153,0.3641025641025641,0.36153846153846153,0.358974358974359,0.3641025641025641,0.3641025641025641,0.3641025641025641,0.3641025641025641,0.3641025641025641,0.3641025641025641,0.36153846153846153,0.3641025641025641,0.3641025641025641,0.36153846153846153,0.36666666666666664,0.3641025641025641,0.3641025641025641,0.3641025641025641,0.3641025641025641,0.3641025641025641,0.3641025641025641,0.3641025641025641,0.3641025641025641,0.3641025641025641,0.3641025641025641,0.3641025641025641,0.3641025641025641,0.3641025641025641,0.3605817068503635
